Time(Seconds), Channel1(Volts)
0.0, 1.48
0.00014, 1.399
0.00028, 1.399
0.00042, 1.36
0.00056, 1.319
0.0007, 1.319
0.00084, 1.24
0.00098, 1.199
0.00112, 1.159
0.00126, 1.12
0.0014, 1.079
0.00154, 1.039
0.00168, 1.039
0.00182, 0.9199
0.00196, 0.9199
0.0021, 0.8399
0.00224, 0.8
0.00238, 0.7199
0.00252, 0.68
0.00266, 0.7199
0.0028, 0.5999
0.00294, 0.5999
0.00308, 0.5199
0.00322, 0.4799
0.00336, 0.4
0.0035, 0.3599
0.00364, 0.3599
0.00378, 0.2399
0.00392, 0.2799
0.00406, 0.16
0.0042, 0.16
0.00434, 0.88
0.00448, 2.159
0.00462, 2.24
0.00476, 2.2
0.0049, 2.2
0.00504, 2.079
0.00518, 2.119
0.00532, 2.039
0.00546, 2.0
0.0056, 1.959
0.00574, 1.919
0.00588, 1.919
0.00602, 1.839
0.00616, 1.839
0.0063, 1.76
0.00644, 1.719
0.00658, 1.679
0.00672, 1.679
0.00686, 1.679
0.007, 1.6
0.00714, 1.6
0.00728, 1.52
0.00742, 1.52
0.00756, 1.439
0.0077, 1.439
0.00784, 1.399
0.00798, 1.36
0.00812, 1.36
0.00826, 1.279
0.0084, 1.279
0.00854, 1.199
0.00868, 1.199
0.00882, 1.199
0.00896, 1.12
0.0091, 1.12
0.00924, 1.039
0.00938, 1.039
0.00952, 1.0
0.00966, 0.9599
0.0098, 0.88
0.00994, 0.8399
0.01008, 0.8399
0.01022, 0.7599
0.01036, 0.7599
0.0105, 0.64
0.01064, 0.64
0.01078, 0.5599
0.01092, 0.5199
0.01106, 0.5199
0.0112, 0.44
0.01134, 0.44
0.01148, 0.32
0.01162, 0.32
0.01176, 0.2399
0.0119, 0.2
0.01204, 0.44
0.01218, 1.88
0.01232, 2.319
0.01246, 2.2
0.0126, 2.24
0.01274, 2.159
0.01288, 2.159
0.01302, 2.079
0.01316, 2.039
0.0133, 2.039
0.01344, 1.959
0.01358, 1.959
0.01372, 1.88
0.01386, 1.88
0.014, 1.799
0.01414, 1.76
0.01428, 1.76
0.01442, 1.679
0.01456, 1.719
0.0147, 1.6
0.01484, 1.6
0.01498, 1.559
0.01512, 1.52
0.01526, 1.52
0.0154, 1.439
0.01554, 1.439
0.01568, 1.36
0.01582, 1.36
0.01596, 1.279
0.0161, 1.279
0.01624, 1.199
0.01638, 1.159
0.01652, 1.159
0.01666, 1.079
