position, torque
-53,133
-53,133
-53,133
-52,133
-53,133
-53,133
-53,133
-53,134
-53,133
-53,133
-53,133
-53,133
-53,134
-53,133
-53,133
-53,134
-53,133
-53,133
-53,134
-53,133
-53,133
-53,134
-53,133
-53,133
-53,133
-53,133
-53,133
-53,133
-53,133
-53,133
-53,133
-53,133
-53,133
-53,133
-53,133
-53,133
-54,133
-54,133
-53,133
-53,133
-53,133
-53,133
-53,133
-53,133
-53,134
-54,133
-54,133
-53,133
-54,133
-54,133
-53,133
-53,133
-53,134
-53,133
-53,133
-53,133
-53,133
-53,133
-53,133
-53,134
-53,133
-53,133
-53,133
-53,133
-53,133
-53,133
-53,133
-54,133
-53,133
-53,133
-53,133
-53,133
-53,134
-53,133
-53,133
-53,133
-53,133
-53,133
-53,133
-53,134
-53,133
-53,133
-54,134
-53,133
-53,134
-53,133
-53,134
-53,133
-53,133
-53,133
-54,133
-53,133
-53,133
-53,133
-53,133
-53,133
-53,133
-53,133
-53,133
-53,133
-53,134
-53,133
-53,133
-53,133
-53,133
-53,134
-53,133
-53,133
-53,133
-52,133
-53,133
-53,133
-53,133
-52,133
-53,133
-53,133
-53,133
-53,134
-53,133
-53,133
-53,133
-53,133
-53,134
-53,133
-53,134
-53,133
-53,133
-53,134
-53,134
-53,133
-53,134
-53,133
-53,133
-53,134
-53,133
-53,133
-53,133
-53,133
-53,133
-53,133
-53,134
-53,134
-53,133
-53,133
-53,134
-53,133
-53,133
-53,133
-53,133
-53,134
-53,133
-53,134
-53,134
-53,134
-53,133
-53,133
-53,133
-53,133
-53,133
-53,134
-53,133
-53,134
-53,133
-53,133
-54,134
-53,133
-53,133
-53,133
-53,133
-53,133
-53,133
-53,133
-53,133
-53,133
-53,133
-53,133
-53,133
-53,133
-53,133
-53,133
-53,134
-53,133
-52,132
-54,133
-53,134
-53,134
-53,133
-53,133
-53,133
-53,133
-53,133
-53,133
-53,133
-53,133
-53,133
-53,133
-53,133
-53,134
-53,133
-53,134
-53,134
-53,133
-53,133
-53,133
-54,133
-53,133
-53,133
-53,133
-53,133
-53,133
-53,132
-53,133
-53,133
-53,133
-53,133
-53,133
-53,133
-53,133
-53,134
-53,133
-53,133
-53,133
-54,133
-53,133
-53,133
-53,134
-53,133
-53,134
-53,134
-53,133
-53,133
-53,134
-53,133
-53,133
-53,134
-53,133
-53,134
-53,133
-53,134
-53,134
-53,133
-53,133
-52,133
-53,133
-53,133
-53,133
-53,133
-53,133
-52,133
-52,133
-53,133
-52,133
-52,133
-53,133
-52,133
-53,134
-52,133
-52,133
-53,133
-53,133
-52,134
-52,133
-52,133
-53,133
-52,133
-53,133
-52,133
-52,133
-53,133
-53,133
-52,133
-53,134
-52,133
-52,134
-52,133
-53,133
-52,133
-52,133
-52,133
-53,133
-53,133
-52,133
-52,133
-52,133
-53,133
-52,134
-52,134
-52,133
-52,133
-52,134
-52,134
-52,133
-52,133
-52,133
-53,134
-53,133
-53,133
-52,133
-53,133
-52,133
-52,133
-53,133
-53,133
-54,133
-60,133
-70,132
-87,133
-114,132
-152,131
-199,131
-264,129
-336,128
-412,127
-564,126
-784,31
-972,38
-1067,530
-1133,495
-1217,795
-1343,36
-1488,115
-1623,68
-1743,24
-1874,37
-2164,551
-2413,502
-2536,889
-2703,475
-2917,416
-3094,336
-3208,792
-3372,431
-3553,298
-3703,202
-3741,664
-3740,546
-3727,274
-3661,206
-3462,768
-3253,791
-3107,327
-2839,214
-2568,32
-2437,525
-2370,329
-2348,485
-2336,300
-2324,232
-2304,175
-2267,433
-2209,273
-2123,172
-2034,147
-1962,591
-1861,278
-1793,151
-1727,132
-1639,755
-1520,318
-1364,177
-1211,128
-1106,721
-1007,249
-813,136
-514,431
-367,244
-230,394
-32,34
53,50
12,54
-32,55
-49,58
-49,59
-48,60
-48,61
-49,63
-49,64
-49,65
-48,67
-49,68
-49,69
-49,70
-48,70
-49,71
-49,72
-49,73
-49,73
-49,74
-49,75
-49,76
-49,76
-48,77
-49,78
-49,78
-49,79
-49,79
-49,80
-49,80
-49,81
-48,81
-49,82
-49,82
-49,82
-49,83
-49,83
-49,84
-49,84
-49,85
-49,85
-49,86
-49,86
-49,86
-49,87
-49,87
-48,88
-49,88
-50,88
-49,89
-48,89
-48,90
-49,90
-49,91
-49,91
-48,91
-48,91
-49,92
-49,92
-49,93
-49,93
-49,93
-49,94
-49,94
-49,95
-49,95
-48,96
-49,95
-49,96
-49,96
-49,97
-49,97
-48,97
-48,98
-49,98
-49,98
-49,98
-48,99
-49,99
-49,99
-49,100
-49,100
-49,100
-49,101
-49,101
-54,101
-88,101
-153,100
-236,99
-342,97
-460,96
-716,37
-978,504
-1111,683
-1281,594
-1490,536
-1700,510
-1851,32
-2125,42
-2404,541
-2539,488
-2704,664
-2870,446
-3001,301
-3082,246
-3131,802
-3151,350
-3152,248
-3152,183
-3152,752
-3141,411
-3108,230
-3046,173
-2934,767
-2760,562
-2593,234
-2473,159
-2295,727
-1965,647
-1747,223
-1491,142
