position,current
2,0
2,0
1,0
1,0
1,0
2,0
1,0
2,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
4,0
6,0
10,0
12,0
17,0
23,0
30,0
35,0
40,0
49,0
62,0
77,0
101,0
136,0
184,0
240,0
304,135
363,136
452,136
501,136
542,135
584,136
628,136
679,136
745,136
846,136
954,137
1043,137
1147,141
1208,143
1273,143
1368,143
1545,144
1721,171
1840,165
1912,165
1983,165
2076,165
2211,174
2306,169
2332,174
2342,180
2355,186
2358,192
2358,198
2360,204
2358,253
2337,168
2336,171
2346,118
2438,114
2588,114
2720,119
2943,148
3163,141
3325,128
3413,137
3479,141
3536,145
3605,151
3708,151
3846,151
3978,164
3993,158
3993,165
3995,170
3993,180
3992,186
3991,193
3995,150
4036,128
4141,151
4294,149
4478,149
4616,151
4655,149
4669,153
4689,161
4703,166
4708,168
4706,178
4705,182
4705,189
4707,195
4708,203
4704,148
4724,129
4775,146
4819,150
4878,150
4972,150
5099,150
5187,152
5215,156
5228,156
5250,167
5260,174
5263,181
5263,183
5262,190
5269,197
5263,208
5263,206
5265,134
5341,133
5375,150
5377,146
5379,154
5376,159
5359,159
5331,159
5258,170
5217,172
5127,174
4988,176
4939,176
4900,176
4844,176
4782,140
4668,168
4304,149
4090,176
3969,183
3816,133
3771,133
3746,133
3697,133
3620,133
3519,125
3413,133
3308,139
3144,139
3033,139
2990,134
2882,150
2746,150
2653,151
2605,151
2573,151
2540,151
2502,151
2430,125
2352,149
2154,159
2003,154
1950,154
1931,154
1907,154
1869,154
1825,154
1756,154
1650,172
1443,172
1371,172
1369,172
1367,172
1365,172
1364,172
1364,172
1364,172
1364,172
1364,172
1359,172
1339,172
1315,172
1296,172
1280,172
1267,172
1254,172
1246,172
1242,172
1236,172
1227,172
1217,172
1206,172
1192,179
1127,174
999,168
874,168
814,168
802,168
761,168
712,168
658,168
611,168
568,165
491,157
313,162
315,163
312,159
314,141
313,136
315,133
324,132
342,133
365,133
425,133
456,133
489,134
521,134
555,135
598,135
651,135
723,135
826,135
940,137
1031,136
1138,141
1203,144
1265,144
1349,144
1499,144
1694,171
1815,166
1886,166
1957,166
2045,166
2158,167
2249,171
2290,169
2338,183
2395,190
2456,189
2586,189
2667,189
2733,192
2747,192
2747,197
2754,206
2786,240
2809,216
2835,215
2889,135
3087,138
3257,138
3334,145
3370,151
3392,158
3419,165
3460,175
3508,184
3581,187
3693,185
3845,185
3969,194
3971,187
3975,197
3975,202
3974,208
3978,209
3999,134
4084,140
4204,158
4332,158
4447,158
4537,148
4626,153
4663,166
4701,171
4739,175
4779,185
4804,186
4854,186
4974,186
5110,133
5147,188
5145,196
5148,201
5150,208
5163,213
5209,133
5345,140
5425,156
5486,156
5547,156
5625,156
5757,150
5872,160
5953,167
6063,170
6155,170
6251,170
6371,172
6447,169
6466,174
6472,180
6470,186
6472,191
6471,195
6448,200
6379,199
6303,134
6285,134
6283,134
6269,134
