position,current
-2,0
-1,0
0,0
2,0
7,0
18,0
62,0
77,0
93,0
112,0
137,0
168,0
209,0
264,0
335,0
438,0
571,0
679,0
791,0
860,0
915,0
972,0
1033,0
1103,0
1204,0
1303,0
1378,0
1464,0
1517,0
1563,0
1609,0
1664,0
1736,0
1847,0
1999,0
2113,0
2231,0
2292,0
2346,0
2409,0
2494,0
2615,0
2723,240
2732,124
2772,139
2812,148
2867,152
2880,162
2883,155
2883,166
2883,173
2883,186
2884,185
2883,193
2888,201
2881,201
2878,146
2895,127
2921,142
2928,144
2928,149
2929,158
2929,162
2930,173
2920,171
2897,176
2859,180
2766,182
2630,178
2535,178
2498,178
2439,178
2364,178
2294,178
2195,178
2003,178
1777,178
1658,178
1582,178
1503,178
1374,178
1211,178
1056,178
951,178
872,178
776,178
622,178
431,178
314,178
241,178
191,178
137,178
66,178
-40,178
-147,178
-262,178
-361,178
-442,178
-498,178
-554,178
-629,178
-750,178
-896,178
-1012,178
-1079,178
-1135,178
-1178,178
-1214,178
-1253,178
-1301,178
-1322,280
-1321,211
-1318,821
-1318,235
-1318,755
-1317,55
-1322,205
-1320,815
-1322,391
-1323,230
-1327,177
-1332,797
-1338,367
-1348,215
-1388,174
-1403,258
-1416,95
-1422,801
-1460,348
-1519,246
-1536,682
-1564,715
-1600,162
-1643,769
-1676,385
-1691,246
-1708,166
-1713,761
-1712,429
-1709,471
-1708,250
-1670,677
-1638,787
-1637,288
-1617,198
-1559,383
-1483,226
-1408,133
-1288,286
-1232,286
-1209,286
-1176,286
-1124,286
-1036,286
-872,286
-713,286
-589,286
-523,286
-468,286
-403,286
-322,286
-206,286
-73,286
58,286
138,286
195,286
259,286
347,286
487,286
634,286
762,286
843,286
906,286
968,286
1038,286
1128,286
1252,286
1354,286
1457,286
1522,286
1574,286
1626,286
1682,286
1749,286
1843,286
1961,286
2058,286
2162,286
2227,286
2273,286
2314,286
2360,286
2408,286
2465,286
2543,286
2640,286
2713,122
2715,135
2715,141
2717,153
2721,162
2726,105
2786,107
2876,122
2914,126
2937,131
2957,134
2981,140
3002,147
3020,155
3028,158
3033,166
3033,172
3032,184
3031,187
3025,121
3033,117
3035,135
3031,136
3012,139
2983,144
2940,144
2871,146
2737,151
2565,150
2479,150
2410,150
2341,150
2276,150
2184,150
2029,150
1838,150
1722,150
1649,150
1603,150
1562,150
1512,150
1456,150
1371,150
1274,150
1168,150
1079,150
1001,150
937,150
886,150
822,150
713,150
600,150
438,150
329,150
251,150
195,150
136,150
57,150
-64,150
-200,150
-330,150
-433,150
-506,150
-583,150
-712,150
-872,150
-1019,150
-1098,150
-1158,150
-1204,150
-1252,150
-1311,150
-1344,748
-1343,723
-1340,428
-1339,228
-1344,173
-1341,777
-1386,473
-1391,250
-1408,185
-1438,779
-1505,513
-1567,265
-1639,199
-1693,785
-1737,529
-1773,413
-1800,234
-1815,178
-1816,791
-1815,471
-1812,262
-1816,196
-1814,801
-1812,509
-1801,264
-1793,200
-1764,308
-1719,210
-1614,642
-1450,611
-1289,279
-1210,279
-1164,279
-1104,279
-980,279
-759,279
-580,279
-481,279
-371,279
-190,279
-1,279
144,279
231,279
336,279
515,279
684,279
813,279
881,279
929,279
974,279
1015,279
1059,279
1114,279
1187,279
1260,279
1325,279
1381,279
1462,279
1514,279
1559,279
1606,279
1661,279
1729,279
1830,279
1966,279
2076,279
2188,279
2249,279
2293,279
2337,279
2387,279
2447,279
2528,279
2635,279
2718,123
2719,133
2727,144
2718,153
2722,104
2768,101
2817,116
2878,117
2893,122
2900,125
2906,133
2912,137
2915,144
2916,150
2916,158
2919,163
2917,174
2917,183
2917,125
2947,118
2941,112
2945,110
2946,113
2946,120
2936,121
2908,123
2868,128
2783,131
2686,135
2574,135
2536,135
2479,135
2405,135
2334,135
2260,135
2153,135
1979,135
1810,135
1706,135
1633,135
1579,135
1515,135
1405,135
1288,135
1137,135
1020,135
934,135
863,135
771,135
623,135
444,135
323,135
244,135
189,135
133,135
59,135
-56,135
-176,135
-296,135
-393,135
-467,135
-522,135
-591,135
-705,135
-837,135
-978,135
-1063,135
-1131,135
-1183,135
-1229,135
-1288,135
-1347,434
-1348,789
-1346,364
-1345,225
-1383,379
-1390,685
-1405,803
-1427,298
-1481,237
-1554,658
-1621,807
-1677,325
-1727,240
-1782,630
-1829,659
-1861,348
-1889,236
-1916,561
-1952,779
-1980,372
-1991,231
-1992,517
-1992,819
-1991,396
-1991,244
-1991,387
-1991,823
-1990,356
-1989,254
-1989,499
-1982,302
-1977,205
-1971,802
-1964,518
-1958,309
-1956,210
-1953,797
-1948,543
-1944,316
-1944,216
-1941,819
-1935,589
-1931,288
-1930,218
-1926,817
-1920,614
-1917,292
-1919,226
-1917,815
-1914,655
-1913,298
-1916,227
-1915,811
-1916,495
-1913,306
-1916,207
-1916,807
-1916,524
-1915,308
-1922,214
-1924,805
-1925,543
-1923,318
-1929,214
-1928,796
-1927,579
-1927,284
-1929,218
-1928,821
-1926,623
-1927,288
-1930,222
-1930,815
-1928,669
-1929,302
-1932,230
-1932,811
-1929,715
-1925,304
-1918,188
-1904,803
-1872,516
-1816,543
-1711,256
-1538,171
-1328,751
-1202,201
-1139,201
-1072,201
-933,201
-717,201
-561,201
-470,201
-378,201
-263,201
-111,201
12,201
129,201
191,201
252,201
326,201
431,201
557,201
649,201
714,201
800,201
844,201
876,201
904,201
935,201
963,201
984,201
1004,201
1029,201
1060,201
1101,201
1157,201
1221,201
1283,201
1344,201
1401,201
1489,201
1537,201
1579,201
1629,201
1686,201
1759,201
1867,201
1999,201
2102,201
2213,201
2276,201
2331,201
2394,201
2473,201
2585,201
2705,105
2732,144
2720,160
2734,103
2800,103
2887,116
2909,125
2911,120
2912,127
2912,131
2912,140
2912,139
2913,152
2911,159
2901,169
2886,174
2865,181
2815,119
2857,116
2859,129
2859,135
2854,138
2810,146
2786,146
2751,155
2692,158
2658,158
2661,158
2660,158
2661,158
2661,158
2670,158
2688,126
2690,171
2688,169
2690,185
2695,192
2690,167
2691,178
2730,128
2818,139
2909,149
2930,149
2946,158
2964,162
2989,169
3020,179
3035,180
3043,184
3044,193
