position,velocity,current
0,0,132
0,0,132
0,0,133
-1,1,133
0,0,132
0,0,132
0,0,133
0,0,132
0,0,132
0,-1,132
0,-1,132
0,0,132
0,-1,133
0,0,132
0,0,132
0,-1,132
-1,1,133
0,0,132
0,0,132
0,0,132
-1,0,132
0,0,132
0,-1,132
0,-1,132
0,0,132
0,0,132
-1,1,132
0,0,132
-1,1,132
0,0,132
0,-1,132
-1,0,132
0,0,132
-1,1,132
-1,1,132
0,-1,132
0,0,132
0,0,132
-1,0,132
-1,0,132
-1,0,132
0,-1,132
-1,0,132
0,0,133
-1,0,132
0,0,132
0,0,132
0,0,133
0,0,132
0,-1,132
-1,1,132
-1,1,132
-1,1,132
-1,0,132
0,0,132
-1,1,132
0,-1,132
0,-1,132
0,0,132
0,0,132
0,-1,133
0,0,132
0,0,132
0,-1,132
-1,1,132
0,-1,133
0,-1,132
-1,1,132
-1,1,133
-1,1,132
0,0,132
-1,1,132
0,0,132
0,0,132
0,0,132
0,0,132
0,0,132
0,0,132
0,-1,132
0,-1,133
0,0,132
0,0,132
0,0,133
0,0,132
0,0,132
0,-1,132
0,0,132
-1,1,132
0,-1,132
0,0,132
0,0,132
0,0,133
0,0,132
0,0,132
0,-1,132
0,0,132
0,0,133
0,0,132
-1,1,132
0,0,132
0,0,132
0,-1,132
-1,1,132
-1,0,132
-1,0,132
-1,0,132
-1,0,132
-1,0,132
-1,0,132
-1,0,132
-1,1,132
-1,1,132
0,0,132
0,-1,132
0,-1,132
0,0,132
-1,1,133
-1,0,132
-1,1,133
0,0,131
-1,1,132
0,0,132
0,0,132
-1,1,132
0,0,132
0,0,132
0,0,132
0,0,132
0,0,132
0,0,132
-1,0,132
-1,1,132
-1,0,132
-1,1,132
-1,0,132
0,0,132
-1,0,132
-1,0,132
-1,0,132
2,0,133
8,0,132
18,-1,133
34,-1,134
61,-2,136
101,-2,136
165,-5,137
278,-10,139
457,-8,146
619,-4,143
726,-5,141
845,-10,145
1094,-14,153
1328,-5,148
1446,-6,143
1566,-9,143
1793,-11,150
2004,-5,147
2119,-6,128
2229,-8,129
2445,-11,133
2654,-6,131
2793,-5,131
2873,-4,126
2981,-4,127
3150,-10,129
3286,-6,126
3396,-3,125
3457,-2,124
3497,-2,122
3525,-2,122
3546,-1,121
3556,0,121
3557,0,119
3558,0,120
3560,0,120
3561,0,120
3560,1,120
3555,0,119
3546,0,119
3539,0,120
3533,0,120
3529,0,120
3525,1,121
3520,1,120
3519,0,121
3519,0,122
3519,0,122
3519,0,121
3519,0,122
3519,0,122
3520,-1,122
3520,0,122
3520,0,122
3519,0,122
3517,0,121
3505,1,121
3481,1,120
3447,2,120
3404,3,119
3321,3,28
3226,4,27
3087,9,445
2979,6,29
2893,3,28
2822,3,480
2722,8,500
2553,9,516
2355,5,104
2241,5,36
2169,4,32
2114,2,22
2050,3,513
1938,5,334
1795,10,184
1630,3,34
1520,4,494
1446,4,29
1373,3,38
1242,4,739
1066,13,34
892,8,35
795,3,33
731,4,72
665,4,21
553,140,30
460,3,474
332,8,511
219,6,467
126,2,667
54,3,58
-5,3,641
-53,2,24
-89,2,30
-163,3,49
-239,6,34
-348,5,387
-440,3,505
-497,2,34
-542,3,24
-585,1,28
-621,2,26
-647,2,26
-668,1,27
-687,1,39
-713,2,48
-748,2,52
-782,1,55
-813,2,58
-864,2,50
-888,1,52
-922,1,56
-965,2,54
-991,1,51
-1000,-1,53
-1001,0,57
-1001,0,59
-1002,0,61
-1002,0,63
-1002,0,64
-1002,0,66
-1002,1,67
-1001,-1,68
-995,0,69
-981,0,70
-962,-1,71
-939,-1,72
-913,-3,73
-884,-2,74
-850,-2,75
-782,-2,48
-746,-2,52
-715,-1,56
-684,-2,59
-650,-2,61
-615,-1,63
-577,-2,64
-531,-3,66
-467,-4,67
-388,-3,69
-313,-3,69
-257,-3,70
-208,-2,71
-162,-3,71
-92,-3,73
-56,-1,73
-22,0,74
7,-1,74
29,-1,75
50,-1,76
72,-1,76
93,-1,77
113,-1,77
137,-1,78
167,-2,78
204,-2,79
259,-2,80
339,-5,82
421,-5,82
495,-3,82
555,-1,83
641,-3,84
683,-2,84
721,-1,84
769,-3,86
830,-5,87
925,-5,88
1072,-6,90
1194,-6,90
1306,-5,89
1380,-3,89
1438,-2,89
1496,-4,90
1559,-3,90
1642,-4,90
1772,-9,94
1876,-6,92
1952,-2,92
2055,-4,93
2116,-3,93
2180,-3,94
2262,-3,94
2400,-10,97
2545,-7,98
2637,-2,95
2745,-3,95
2809,-3,95
2860,-2,96
2914,-2,96
2977,-4,96
3061,-6,96
3170,-3,98
3256,-4,97
3320,-4,97
3404,-2,54
3457,-3,53
3502,-3,57
3546,-2,59
3593,-2,62
3644,-3,63
3711,-5,64
3804,-3,68
3899,-4,69
3968,-4,68
4040,-4,69
4134,-3,43
4174,-2,50
4200,-1,54
4219,0,57
4236,-1,59
4252,-2,61
4261,0,63
4264,0,64
4264,0,65
4265,0,66
4265,0,67
4265,0,68
4265,1,70
4266,-1,70
4264,0,71
4260,0,71
4252,0,72
4240,0,73
4219,2,73
4188,2,73
4144,2,73
4090,3,74
4042,0,105
4024,2,99
3931,7,104
3782,8,29
3682,4,25
3614,1,29
3559,3,86
3505,3,906
3419,4,497
3245,11,40
2998,12,111
2839,8,116
2609,9,160
2241,12,23
2081,11,30
1798,18,40
1492,7,561
1243,48,101
832,16,108
660,7,526
363,20,103
96,11,544
-61,9,181
-362,11,63
-578,7,568
-656,3,30
-687,0,28
-696,0,47
-697,0,47
-698,0,51
-697,0,55
-690,0,58
-666,-1,61
-617,-2,64
-523,-5,68
-312,-16,71
-91,-10,77
32,-5,80
163,-5,83
414,-18,86
652,-10,46
811,-7,58
1196,-21,63
1448,-10,67
1717,-23,80
2041,-12,82
2193,-9,92
2467,-15,87
2719,-7,101
2808,-3,92
2862,-4,49
2899,1,103
2931,-4,56
2951,-2,131
2993,-5,94
3031,0,122
3035,2,121
3044,-1,334
3045,-1,321
3044,0,150
3043,0,48
3042,1,50
3042,0,54
3041,0,57
3040,0,59
3040,0,61
3040,0,63
3040,0,64
3040,0,66
3040,0,67
3040,0,68
3037,0,69
3021,2,69
2991,1,70
2947,1,70
2895,4,70
2841,4,70
2767,4,35
2635,5,36
2459,14,427
2268,7,56
2154,3,49
2049,8,52
1858,15,505
1600,7,47
1433,7,37
1221,15,612
903,10,495
749,3,95
629,9,559
437,15,506
216,8,588
63,7,39
-47,8,530
-180,4,37
-320,6,24
-451,6,36
-514,3,26
-551,0,26
-572,1,34
-575,0,49
-575,0,51
-575,0,54
-575,0,58
-575,0,60
-570,0,62
-554,-1,64
-529,-2,65
-491,-2,67
-425,-4,69
-330,-7,72
-234,-5,73
-109,-399,74
-3,-6,47
96,-7,54
174,1,171
271,-11,51
541,-13,60
751,-7,55
1017,-17,68
1363,-13,140
1556,-17,147
1904,-11,141
2137,-9,154
2445,-33,161
2795,-9,171
3005,-10,157
3323,-13,161
3516,-7,49
3647,-5,62
3834,-13,154
3965,-5,149
4016,-2,138
4090,0,111
4117,-1,146
4119,0,111
4128,0,413
4133,1,91
4136,0,91
4137,0,84
4138,0,36
4141,-1,46
4142,0,51
4142,0,55
4140,0,57
4134,1,60
4126,0,62
4117,0,63
4109,0,64
4101,0,66
4088,1,67
4043,0,44
4013,2,49
3956,3,34
3880,5,30
3787,6,29
3703,2,26
3621,4,639
3547,5,538
3474,5,44
3343,4,575
3157,14,116
2943,11,62
2813,5,37
2609,7,183
2296,14,657
2138,7,43
1993,6,838
1681,21,625
1461,9,30
1237,55,675
928,13,513
753,7,23
629,7,606
411,7,96
178,9,503
34,8,25
-113,6,28
-352,14,209
-532,7,32
-637,3,105
-710,3,24
-785,5,43
-885,5,28
-994,5,896
-1111,6,565
-1197,0,178
-1263,2,25
-1307,2,27
-1334,1,28
-1352,1,31
-1362,0,43
-1364,0,49
-1363,-1,53
-1364,0,57
-1364,-1,59
-1364,0,61
-1358,0,63
-1343,-1,65
-1325,-1,66
-1300,-1,68
-1263,-2,69
-1211,-4,70
-1132,-7,73
-1028,-3,75
-938,-5,75
-861,-5,75
-758,-3,76
-683,-4,77
-589,-7,80
-412,-10,83
-173,-7,83
12,-8,109
153,-9,106
407,-10,122
649,-7,126
816,-10,135
1194,-13,135
1465,-9,58
1756,-24,57
2046,-9,121
2210,-5,130
2490,-20,132
2703,-7,129
2785,-2,49
2835,-3,120
2872,-2,89
2903,-2,111
2914,1,110
2926,0,96
2939,-1,91
2951,-1,89
2963,0,88
2975,0,87
2977,0,87
2977,0,87
2976,0,88
2976,0,88
2976,0,88
2974,1,89
2970,0,89
2960,0,89
2945,1,90
2926,1,89
2900,1,89
2868,2,89
2828,3,89
2767,4,88
2643,4,30
2496,9,29
2311,9,31
2187,6,96
2093,3,23
1933,9,721
1684,17,582
1475,8,802
1316,11,37
988,23,120
771,6,33
641,5,30
407,16,65
154,12,507
-3,6,115
-241,14,149
-520,11,556
-647,5,40
-734,3,27
-863,4,163
-1000,8,81
-1148,5,96
-1249,5,28
-1324,6,555
-1370,3,28
-1409,2,33
-1442,2,34
-1465,2,57
-1476,0,38
-1479,0,47
-1480,0,52
-1480,1,56
-1480,0,58
-1481,0,60
-1481,0,62
-1480,-1,64
-1475,0,65
-1468,0,67
-1463,0,68
-1460,0,68
-1459,-1,69
-1459,0,70
-1459,0,71
-1459,0,72
-1459,0,72
-1459,0,73
-1458,0,74
-1458,0,75
-1457,0,75
-1457,0,76
-1456,0,77
-1456,0,77
-1456,0,78
-1456,0,78
-1456,0,79
-1456,0,79
-1456,0,80
-1456,0,80
-1456,0,81
-1455,-1,82
-1456,0,82
-1456,0,82
-1456,0,83
-1456,0,84
-1455,0,84
-1455,0,84
-1455,0,85
-1454,-1,85
-1454,0,86
-1454,0,86
-1454,0,87
-1453,0,87
-1450,1,88
-1445,0,88
-1440,-1,89
-1435,-1,89
-1429,0,89
-1420,-1,90
-1411,0,90
-1402,-1,90
-1392,-1,91
-1378,-1,92
-1355,-1,93
-1323,-2,94
-1287,-2,94
-1246,-1,95
-1192,-4,95
-1115,-6,96
